city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-11-04,PM2.5,4.91042933810376,ug/m3,NA,00:00:00,2017-11-04 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-11-04,PM2.5,5.376125,ug/m3,NA,00:00:00,2017-11-04 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-11-04,PM2.5,4.7427289048474,ug/m3,NA,00:00:00,2017-11-04 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-11-05,PM2.5,3.0635701598579,ug/m3,NA,00:00:00,2017-11-05 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-11-05,PM2.5,6.54078152753108,ug/m3,NA,00:00:00,2017-11-05 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-11-05,PM2.5,7.09049645390071,ug/m3,NA,00:00:00,2017-11-05 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-11-05,PM2.5,6.57046345811052,ug/m3,NA,00:00:00,2017-11-05 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-11-06,PM2.5,7.17304347826087,ug/m3,NA,00:00:00,2017-11-06 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-11-06,PM2.5,4.97131944444444,ug/m3,NA,00:00:00,2017-11-06 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-11-06,PM2.5,5.11277296360485,ug/m3,NA,00:00:00,2017-11-06 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-11-06,PM2.5,4.75509565217391,ug/m3,NA,00:00:00,2017-11-06 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-11-07,PM2.5,6.68824956672444,ug/m3,NA,00:00:00,2017-11-07 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-11-07,PM2.5,4.89946273830156,ug/m3,NA,00:00:00,2017-11-07 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
